n|novo|grupo|familia|especie|cat
746||RE|Liolaemidae|Liolaemus arambarensis|EN
747||RE|Liolaemidae|Liolaemus lutzae|EN
748||RE|Liolaemidae|Liolaemus occipitalis|VU
749||RE|Mabuyidae|Brasiliscincus caissara|EN
750|*|RE|Mabuyidae|Trachylepis atlantica|EN
751|*|RE|Phyllodactylidae|Gymnodactylus vanzolinii|EN
752||RE|Phyllodactylidae|Homonota uruguayensis|VU
753|*|RE|Sphaerodactylidae|Coleodactylus elizae|CR
754||RE|Sphaerodactylidae|Coleodactylus natalensis|EN
755|*|RE|Teiidae|Ameiva jacuba|VU
756||RE|Teiidae|Ameiva parecis|EN
757|*|RE|Teiidae|Ameivula cipoensis|EN
758||RE|Teiidae|Contomastix vacariensis|EN
759||RE|Teiidae|Glaucomastix abaetensis|EN
760|*|RE|Teiidae|Glaucomastix cyanura|VU
761|*|RE|Teiidae|Glaucomastix itabaianensis|EN
762||RE|Teiidae|Glaucomastix littoralis|EN
763|*|RE|Teiidae|Kentropyx viridistriga|VU
764||RE|Tropiduridae|Eurolophosaurus amathites|VU
765|*|RE|Tropiduridae|Eurolophosaurus divaricatus|VU
766||RE|Tropiduridae|Stenocercus azureus|EN
767|*|RE|Tropiduridae|Stenocercus quinarius|VU
768|*|RE|Tropiduridae|Tropidurus callathelys|EN
769|*|RE|Tropiduridae|Tropidurus chromatops|EN
770||RE|Tropiduridae|Tropidurus erythrocephalus|EN
771||RE|Tropiduridae|Tropidurus hygomi|VU
772|*|RE|Tropiduridae|Tropidurus mucujensis|EN
773||RE|Viperidae|Bothrops alcatraz|VU
774|*|RE|Viperidae|Bothrops germanoi|VU
775||RE|Viperidae|Bothrops insularis|CR
776|*|RE|Viperidae|Bothrops itapetiningae|VU
777|*|RE|Viperidae|Bothrops jabrensis|CR
778||RE|Viperidae|Bothrops muriciensis|CR
779||RE|Viperidae|Bothrops otavioi|CR
780|*|RE|Viperidae|Bothrops sazimai|CR
781|*|RE|Chelidae|Acanthochelys macrocephala|VU
782|*|RE|Chelidae|Phrynops williamsi|VU
783||RE|Chelidae|Ranacephala hogei|EN
784||RE|Cheloniidae|Caretta caretta|VU
785||RE|Cheloniidae|Eretmochelys imbricata|EN
786||RE|Cheloniidae|Lepidochelys olivacea|VU
787||RE|Dermochelyidae|Dermochelys coriacea|CR
788|*|RE|Podocnemididae|Podocnemis sextuberculata|EN
789|*|RE|Testudinidae|Chelonoidis carbonarius|VU
790|*|RE|Testudinidae|Chelonoidis denticulatus|EN
E1||AN|Hylidae|Boana cymbalum|EX
E2||AN|Phyllomedusidae|Phrynomedusa fimbriata|EX
E3||AV|Scolopacidae|Numenius borealis|RE
E4||AV|Furnariidae|Cichlocolaptes mazarbarnetti|EX
E5||AV|Furnariidae|Philydor novaesi|EX
E6||AV|Icteridae|Leistes defilippii|RE
E7||AV|Psittacidae|Anodorhynchus glaucus|RE
E8||AV|Strigidae|Glaucidium mooreorum|EX
E9||MA|Cricetidae|Noronhomys vespuccii|EX
